X,Y,DATA_CREAZ,DENOM_CORR,DENOM_ATTO,ENTE,ID_REG_BEN,NOTE_BENE,RIFER_LEGG,TIPO_BENE,SE_SDO_ROW,icon_url
16.3779722243761,39.4876666651967,2004/01/22,ACRI - Castello Via Castello (ACRI),DL 22/01/2004,A053,1236.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1236.0000000000000000000000000000000,./0.png
16.6075874407694,39.0366971572771,2004/01/22,ALBI - Castello Taverna Vecchia (ALBI),DL 22/01/2004,A155,1101.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1101.0000000000000000000000000000000,./0.png
16.5696944453067,39.9084444450222,2004/01/22,ALBIDONA - Torre Piano di Monaci (ALBIDONA),DL 22/01/2004,A160,1239.0000000000000000000000000000000,Conservato,LR 12/04/1990 N. 42,Fortificazione,1239.0000000000000000000000000000000,./0.png
16.4619444452753,38.942111108782,2004/01/22,AMATO - Castello VIA GUGLIELMO MARCONI (AMATO),DL 22/01/2004,A257,1012.0000000000000000000000000000000,Rudere Integrato,LR 12/04/1990 N. 42,Fortificazione,1012.0000000000000000000000000000000,./0.png
16.7865000036355,39.0165555579282,2004/01/22,BELCASTRO - Castello Di S. Tommaso (BELCASTRO),DL 22/01/2004,A736,1016.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1016.0000000000000000000000000000000,./0.png
16.4065684350674,39.7583151972173,2004/01/22,CASSANO ALLO IONIO - Torre Di Milone (cinta muraria) (CASSANO ALLO IONIO),DL 22/01/2004,C002,1261.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1261.0000000000000000000000000000000,./0.png
16.3235555548156,39.7852500027525,2004/01/22,CASSANO ALLO IONIO - Castello Pietra Castello (CASSANO ALLO IONIO),DL 22/01/2004,C002,1259.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1259.0000000000000000000000000000000,./0.png
16.4065684350674,39.7583151972173,2004/01/22,CASSANO ALLO IONIO - Castello Bufolaria (CASSANO ALLO IONIO),DL 22/01/2004,C002,1260.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1260.0000000000000000000000000000000,./0.png
16.4045000040797,38.3834444436505,2004/01/22,CAULONIA - Castello  (CAULONIA),DL 22/01/2004,C285,1162.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1162.0000000000000000000000000000000,./0.png
16.4673333353477,38.34108333705,2004/01/22,CAULONIA - Torre Camillari (CAULONIA),DL 22/01/2004,C285,1164.0000000000000000000000000000000,Conservato,LR 12/04/1990 N. 42,Fortificazione,1164.0000000000000000000000000000000,./0.png
