X,Y,COD_BENE,DENOM_CORR,DENOM_ATTO,ENTE,ID_REG_BEN,LOCALITA,NOTE_BENE,TIPO_BENE,ALLEGATI,SE_SDO_ROW,icon_url
16.5104042376415,38.8268513405122,,BORGIA - Borgia (CSU),Centri storici ex DGR 44/2010,B002,5202.0000000000000000000000000000000,,,Centro storico,,5202.0000000000000000000000000000000,./0.png
16.1934004783602,39.2592310331206,,MENDICINO - Mendicino (CSU),Centri storici ex DGR 44/2010,F125,5093.0000000000000000000000000000000,,,Centro storico,,5093.0000000000000000000000000000000,./0.png
16.8225904395598,39.4129547290857,,CAMPANA - Campana,Centri storici ex DGR 44/2010,B500,5070.0000000000000000000000000000000,,,Centro storico,,5070.0000000000000000000000000000000,./0.png
16.1589548145758,39.4061523491483,,MONTALTO UFFUGO - Montalto Uffugo (CSU),Centri storici ex DGR 44/2010,F416,5094.0000000000000000000000000000000,,,Centro storico,,5094.0000000000000000000000000000000,./0.png
16.2862730282839,39.5134231943104,,BISIGNANO - Bisignano (CSU),Centri storici ex DGR 44/2010,A887,5066.0000000000000000000000000000000,,,Centro storico,,5066.0000000000000000000000000000000,./0.png
16.0309768710052,39.4159349001849,,FUSCALDO - Fuscaldo   (CSU),Centri storici ex DGR 44/2010,D828,5086.0000000000000000000000000000000,,,Centro storico,,5086.0000000000000000000000000000000,./0.png
16.303209556304,39.1478275555994,,CARPANZANO - Carpanzano  (CSU),Centri storici ex DGR 44/2010,B813,5073.0000000000000000000000000000000,,,Centro storico,,5073.0000000000000000000000000000000,./0.png
15.9738384931779,39.9474168646678,,LAINO CASTELLO - Laino Castello,Centri storici ex DGR 44/2010,E419,5089.0000000000000000000000000000000,,,Centro storico,,5089.0000000000000000000000000000000,./0.png
16.0952409282694,38.4181483641704,,CINQUEFRONDI - Cinquefrondi (CSU),Centri storici ex DGR 44/2010,C710,5145.0000000000000000000000000000000,,,Centro storico,,5145.0000000000000000000000000000000,./0.png
16.9180901880415,39.3531977259532,,UMBRIATICO - Umbriatico,Centri storici ex DGR 44/2010,L492,5132.0000000000000000000000000000000,,,Centro storico,,5132.0000000000000000000000000000000,./0.png
16.4037249136704,38.3239760218027,,ROCCELLA IONICA - Roccella Ionica  (CSU),Centri storici ex DGR 44/2010,H456,5169.0000000000000000000000000000000,,,Centro storico,,5169.0000000000000000000000000000000,./0.png
